taxonomy_id,name,taxonomy_lvl
1328,Streptococcus anginosus,S
2944914,Allocoprobacillus halotolerans,S
512349,Actinoplanes sichuanensis,S
216946,Spiroplasma turonicum,S
5141,Neurospora crassa,S
1580590,Leishmania martiniquensis,S
294,Pseudomonas fluorescens,S
2172099,Saccharobesus litoralis,S
29489,Aeromonas enteropelogenes,S
1933905,Bartonella sp. CDC_skunk,S
318829,Pyricularia oryzae,S
83655,Leclercia adecarboxylata,S
2746060,Legionella sp. PC1000,S
2608089,Ekhidna sp.,S
3095367,Candidatus Uabimicrobium helgolandensis,S
450367,Peribacillus frigoritolerans,S
29486,Yersinia ruckeri,S
3079555,Alteromonas sp. CI.11.F.A3,S
108981,Acinetobacter schindleri,S
944,Ehrlichia canis,S
3123041,Massilia sp. METH4,S
155322,Bacillus toyonensis,S
1545702,Lactobacillus sp. wkB8,S
375929,Natranaerobius thermophilus,S
4932,Saccharomyces cerevisiae,S
1364945,Salinirubellus salinus,S
2843630,Acajnonavirus acj9,S
569,Hafnia alvei,S
161398,Pseudoalteromonas phenolica,S
670,Vibrio parahaemolyticus,S
2908840,Planococcus sp. 107-1,S
1354,Enterococcus hirae,S
43657,Pseudoalteromonas luteoviolacea,S
2058625,Undibacterium sp. YM2,S
261292,Nitrosomonas sp. Is79A3,S
84378,Brachyspira murdochii,S
2231603,Akanthomyces muscarius,S
48296,Acinetobacter pittii,S
3003256,Flavobacterium marginilacus,S
313588,Croceibacter atlanticus,S
1241978,Chryseobacterium bernardetii,S
2500547,Apibacter raozihei,S
3036359,Aurantibacillus circumpalustris,S
1393,Brevibacillus brevis,S
1296,Mammaliicoccus sciuri,S
3136731,Salinicoccus bachuensis,S
367743,Ureibacillus thermophilus,S
1352,Enterococcus faecium,S
33034,Anaerococcus prevotii,S
6039,Vairimorpha necatrix,S
65700,Erwinia tracheiphila,S
2588449,Shewanella polaris,S
436663,Sphingopyxis indica,S
1306519,Flavobacterium commune,S
1397,Niallia circulans,S
1940789,Lactococcus petauri,S
3416081,Alloiococcus sp. CFN-8,S
27291,Saccharomyces paradoxus,S
2065378,Breoghania sp.,S
82633,Cupriavidus pauculus,S
247,Empedobacter brevis,S
3387402,Pedobacter sp. KLB.chiD,S
387661,Parabacteroides johnsonii,S
203,Campylobacter rectus,S
2706014,Nitrosophilus labii,S
638619,Bifidobacterium actinocoloniiforme,S
5478,Nakaseomyces glabratus,S
2929509,Acinetobacter sp. NyZ410,S
1028419,Psychrobacter sp. DAB_AL60,S
199,Campylobacter concisus,S
930124,Metabacillus halosaccharovorans,S
1307,Streptococcus suis,S
1302308,Rhodococcus sp. P1Y,S
309868,Candidatus Liberibacter americanus,S
248906,Zobellia laminariae,S
2952571,Chitinophaga sp. HK235,S
28985,Kluyveromyces lactis,S
2803181,Leishmania sp. Ghana 2012 LV757,S
282676,Acidianus manzaensis,S
386891,Moraxella bovoculi,S
550984,Halomonas sp. HAL1,S
2371,Xylella fastidiosa,S
2704654,Gilliamella sp. ESL0441,S
2654325,Flavobacterium sp. xlx-214,S
3093870,Polaribacter sp. R77954,S
1356852,Hymenobacter sp. APR13,S
1511761,Leuconostoc suionicum,S
47715,Lacticaseibacillus rhamnosus,S
1303,Streptococcus oralis,S
1069201,Aspergillus luchuensis,S
45285,Eremothecium cymbalariae,S
324770,Kwoniella dejecticola,S
35128,Thalassiosira pseudonana,S
2731552,Pseudomonas solani,S
1961362,Sphingomonas sp. NIC1,S
192,Azospirillum brasilense,S
2686362,Cellulophaga sp. L1A9,S
1965332,Kordia sp.,S
2795000,Maridesulfovibrio sp.,S
361277,Terribacillus saccharophilus,S
2068655,Novisyntrophococcus fermenticellae,S
3158075,Penicillium psychrofluorescens,S
4952,Yarrowia lipolytica,S
2912315,Vibrio sp. DW001,S
3020716,Acinetobacter sp. GSS19,S
189834,Actinobacillus porcitonsillarum,S
3003261,Flavobacterium aquiphilum,S
28132,Prevotella melaninogenica,S
823,Parabacteroides distasonis,S
1452,Bacillus atrophaeus,S
2998077,Lysinibacillus irui,S
1478,Peribacillus simplex,S
162425,Aspergillus nidulans,S
1263979,Candidatus Endolissoclinum faulkneri,S
2686366,Algibacter sp. L3A6,S
112234,Chryseobacterium joostei,S
2932258,Halobacillus shinanisalinarum,S
1639,Listeria monocytogenes,S
2068654,Clostridium fermenticellae,S
3070215,Kineothrix sp. MB12-C1,S
2975702,Streptomyces sp. NBC_00287,S
3412684,Promicromonospora sp. MS192,S
2110,Mycoplasmopsis agalactiae,S
37727,Talaromyces marneffei,S
456999,Rhizoctonia solani,S
395598,Pseudomonas reinekei,S
104609,Vibrio penaeicida,S
106648,Acinetobacter bereziniae,S
2066072,Bacterioplanoides sp.,S
2748319,Flavobacterium sp. I3-2,S
1524260,Polaribacter marinivivus,S
754409,Winogradskyella sp. PG-2,S
320324,Formosa agariphila,S
2975289,Peribacillus sp. FSL E2-0159,S
79883,Sutcliffiella horikoshii,S
79263,Paenibacillus chitinolyticus,S
682956,Paenibacillus jilunlii,S
46127,Staphylococcus felis,S
1587,Lactobacillus helveticus,S
2705319,Microcoleus anatoxicus,S
2552945,Thalassotalea sp. HSM 43,S
1530123,Acinetobacter seifertii,S
1685970,Bradyrhizobium sp. ORS 86,S
246787,Bacteroides cellulosilyticus,S
119206,Aerococcus sanguinicola,S
2714929,Erysipelothrix sp. HDW6B,S
2735436,Mariniplasma anaerobium,S
582,Morganella morganii,S
2864203,Shewanella aegiceratis,S
2819101,Vibrio sp. SCSIO 43136,S
445710,Dyella thiooxydans,S
1404411,Bradyrhizobium septentrionale,S
165694,Bartonella schoenbuchensis,S
2493672,Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1,S
2975736,Streptomyces sp. NBC_00390,S
41673,Acidianus brierleyi,S
2817401,Pseudomonas sp. R3-56,S
1390185,Pseudoalteromonas sp. DL-6,S
3100175,Idiomarina sp. OXR-189,S
1685958,Bradyrhizobium sp. ORS 111,S
1287690,Aequorivita nionensis,S
354356,Niastella koreensis,S
877500,Halarcobacter anaerophilus,S
2796169,Lysinibacillus sp. C5.1,S
3109366,Sedimentibacter sp. MB31-C6,S
