"","Item","Cluster"
"RXN-17785: (expasy) Enoyl-CoA hydratase [4.2.1.17]","RXN-17785: (expasy) Enoyl-CoA hydratase [4.2.1.17]",2
"RXN-17780: (expasy) Enoyl-CoA hydratase [4.2.1.17]","RXN-17780: (expasy) Enoyl-CoA hydratase [4.2.1.17]",2
"RXN-17776: (expasy) Enoyl-CoA hydratase [4.2.1.17]","RXN-17776: (expasy) Enoyl-CoA hydratase [4.2.1.17]",2
"RXN-17475: (expasy) Enoyl-CoA hydratase [4.2.1.17]","RXN-17475: (expasy) Enoyl-CoA hydratase [4.2.1.17]",2
"RXN-17114: (expasy) Enoyl-CoA hydratase [4.2.1.17]","RXN-17114: (expasy) Enoyl-CoA hydratase [4.2.1.17]",2
"RXN-16558: (expasy) Enoyl-CoA hydratase [4.2.1.17]","RXN-16558: (expasy) Enoyl-CoA hydratase [4.2.1.17]",2
"RXN-16135: (expasy) Enoyl-CoA hydratase [4.2.1.17]","RXN-16135: (expasy) Enoyl-CoA hydratase [4.2.1.17]",2
"RXN-14273: (metacyc) trans-tetradec-2-enoyl-CoA hydratase [4.2.1.17]","RXN-14273: (metacyc) trans-tetradec-2-enoyl-CoA hydratase [4.2.1.17]",2
"RXN-14272: (metacyc) (E)-hexadec-2-enoyl-CoA hydratase [4.2.1.17]","RXN-14272: (metacyc) (E)-hexadec-2-enoyl-CoA hydratase [4.2.1.17]",2
"RXN-14266: (metacyc) 3-hydroxyisovaleryl-CoA hydratase [4.2.1.17]","RXN-14266: (metacyc) 3-hydroxyisovaleryl-CoA hydratase [4.2.1.17]",2
"RXN-13616: (expasy) Enoyl-CoA hydratase [4.2.1.17]","RXN-13616: (expasy) Enoyl-CoA hydratase [4.2.1.17]",2
"RXN-12567: (expasy) Enoyl-CoA hydratase [4.2.1.17]","RXN-12567: (expasy) Enoyl-CoA hydratase [4.2.1.17]",2
"ENOYL-COA-HYDRAT-RXN: (expasy) Enoyl-CoA hydratase [4.2.1.17]","ENOYL-COA-HYDRAT-RXN: (expasy) Enoyl-CoA hydratase [4.2.1.17]",2
"METHYLACYLYLCOA-HYDROXY-RXN: (metacyc) Methylacrylyl-CoA hydratase [4.2.1.17]","METHYLACYLYLCOA-HYDROXY-RXN: (metacyc) Methylacrylyl-CoA hydratase [4.2.1.17]",2
"RXN0-2044: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]","RXN0-2044: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]",2
"RXN-21784: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]","RXN-21784: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]",2
"RXN-21783: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]","RXN-21783: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]",2
"RXN-21771: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]","RXN-21771: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]",2
"RXN-21767: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]","RXN-21767: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]",2
"RXN-21760: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]","RXN-21760: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]",2
"RXN-21224: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]","RXN-21224: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]",2
"RXN-20679: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]","RXN-20679: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]",2
"RXN-19803: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]","RXN-19803: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]",2
"RXN-17798: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]","RXN-17798: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]",2
"RXN-17794: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]","RXN-17794: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]",2
"RXN-17790: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]","RXN-17790: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]",2
"RXN-17786: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]","RXN-17786: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]",2
"RXN-17781: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]","RXN-17781: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]",2
"RXN-17777: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]","RXN-17777: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]",2
"RXN-16133: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]","RXN-16133: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]",2
"RXN-12750: (metacyc) 3-[(3aS,4S,5R,7aS)-5-hydroxy-7a-methyl-1-oxo-octahydro-1H-inden-4-yl]-3-hydroxypropanoate dehydrogenase [1.1.1.35]","RXN-12750: (metacyc) 3-[(3aS,4S,5R,7aS)-5-hydroxy-7a-methyl-1-oxo-octahydro-1H-inden-4-yl]-3-hydroxypropanoate dehydrogenase [1.1.1.35]",2
"RXN-12705: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]","RXN-12705: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]",2
"RXN-12570: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]","RXN-12570: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]",2
"RXN-12490: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]","RXN-12490: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]",2
"RXN-11662: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]","RXN-11662: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]",2
"OHACYL-COA-DEHYDROG-RXN: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]","OHACYL-COA-DEHYDROG-RXN: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]",2
"RXN-11245: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]","RXN-11245: (expasy) 3-hydroxyacyl-CoA dehydrogenase [1.1.1.35]",2
"HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN: (expasy) 2-oxo-hept-4-ene-1,7-dioate hydratase [4.2.1.163]","HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN: (expasy) 2-oxo-hept-4-ene-1,7-dioate hydratase [4.2.1.163]",2
"RXN0-5359: (expasy) Diguanylate cyclase [2.7.7.65]","RXN0-5359: (expasy) Diguanylate cyclase [2.7.7.65]",2
"ISOCHORMAT-RXN: (expasy) Isochorismatase [3.3.2.1]","ISOCHORMAT-RXN: (expasy) Isochorismatase [3.3.2.1]",2
"RXN-17129: (expasy) Hydroxysqualene synthase [4.2.3.156]","RXN-17129: (expasy) Hydroxysqualene synthase [4.2.3.156]",2
"RXN0-4341: (expasy) D-glycero-beta-D-manno-heptose-7-phosphate kinase [2.7.1.167]","RXN0-4341: (expasy) D-glycero-beta-D-manno-heptose-7-phosphate kinase [2.7.1.167]",2
"3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN: (expasy) 3-hydroxybutyrate dehydrogenase [1.1.1.30]","3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN: (expasy) 3-hydroxybutyrate dehydrogenase [1.1.1.30]",2
"DIMETHUROPORDEHYDROG-RXN: (expasy) Precorrin-2 dehydrogenase [1.3.1.76]","DIMETHUROPORDEHYDROG-RXN: (expasy) Precorrin-2 dehydrogenase [1.3.1.76]",2
"RXN-11176: (expasy) PqqA peptide cyclase [1.21.98.4]","RXN-11176: (expasy) PqqA peptide cyclase [1.21.98.4]",2
"RXN66-648: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-648: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-646: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-646: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-645: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-645: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-642: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-642: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-641: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-641: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-640: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-640: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-639: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-639: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-637: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-637: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-636: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-636: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-635: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-635: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-632: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-632: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-631: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-631: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-630: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-630: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-628: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-628: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-627: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-627: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-626: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-626: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-624: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-624: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-623: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-623: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-622: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-622: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-620: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-620: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-619: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-619: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-618: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-618: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-616: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-616: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-614: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-614: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN66-610: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]","RXN66-610: (expasy) AMBIGUOUS [2.3.1.85; 2.3.1.86]",2
"RXN3O-5304: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]","RXN3O-5304: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]",2
"RXN3O-5293: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]","RXN3O-5293: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]",2
"RXN3O-1803: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]","RXN3O-1803: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]",2
"RXN1G-536: (metacyc) cerotoyl-[acyl-carrier protein] reductase [2.3.1.86]","RXN1G-536: (metacyc) cerotoyl-[acyl-carrier protein] reductase [2.3.1.86]",2
"RXN1G-526: (metacyc) trans-tetracos-2-enoyl-[acyl-carrier protein] reductase [2.3.1.86]","RXN1G-526: (metacyc) trans-tetracos-2-enoyl-[acyl-carrier protein] reductase [2.3.1.86]",2
"RXN1G-517: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]","RXN1G-517: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]",2
"RXN1G-508: (metacyc) 3-oxo-lignoceroyl-[acyl-carrier protein] reductase [2.3.1.86]","RXN1G-508: (metacyc) 3-oxo-lignoceroyl-[acyl-carrier protein] reductase [2.3.1.86]",2
"RXN1G-499: (metacyc) 3-oxo-lignoceroyl-[acyl-carrier protein] synthase [2.3.1.86]","RXN1G-499: (metacyc) 3-oxo-lignoceroyl-[acyl-carrier protein] synthase [2.3.1.86]",2
"RXN-21726: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]","RXN-21726: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]",2
"RXN-21725: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]","RXN-21725: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]",2
"RXN-21724: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]","RXN-21724: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]",2
"RXN-21723: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]","RXN-21723: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]",2
"RXN-21722: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]","RXN-21722: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]",2
"RXN-21721: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]","RXN-21721: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]",2
"RXN-21720: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]","RXN-21720: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]",2
"RXN-21719: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]","RXN-21719: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]",2
"RXN-20770: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]","RXN-20770: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]",2
"RXN-20769: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]","RXN-20769: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]",2
"RXN-10062: (metacyc) trans-hexacos-2-enoyl-[acp] reductase [2.3.1.86]","RXN-10062: (metacyc) trans-hexacos-2-enoyl-[acp] reductase [2.3.1.86]",2
"RXN-10061: (metacyc) 3-hydroxycerotyl-[acp] dehydrase [2.3.1.86]","RXN-10061: (metacyc) 3-hydroxycerotyl-[acp] dehydrase [2.3.1.86]",2
"RXN-10060: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]","RXN-10060: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]",2
"FATTY-ACYL-COA-SYNTHASE-RXN: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]","FATTY-ACYL-COA-SYNTHASE-RXN: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]",2
"RXN-10059: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]","RXN-10059: (expasy) Fatty-acyl-CoA synthase system [2.3.1.86]",2
"RXN-12104: (expasy) Epoxyqueuosine reductase [1.17.99.6]","RXN-12104: (expasy) Epoxyqueuosine reductase [1.17.99.6]",2
"HEMEOSYN-RXN: (metacyc) heme o biosynthesis [2.5.1.141]","HEMEOSYN-RXN: (metacyc) heme o biosynthesis [2.5.1.141]",2
"RXN-20645: (expasy) Heme o synthase [2.5.1.141]","RXN-20645: (expasy) Heme o synthase [2.5.1.141]",2
"RXN-10026: (expasy) Acyl-homoserine-lactone synthase [2.3.1.184]","RXN-10026: (expasy) Acyl-homoserine-lactone synthase [2.3.1.184]",2
"RXN-10025: (expasy) Acyl-homoserine-lactone synthase [2.3.1.184]","RXN-10025: (expasy) Acyl-homoserine-lactone synthase [2.3.1.184]",2
"RXN-10024: (expasy) Acyl-homoserine-lactone synthase [2.3.1.184]","RXN-10024: (expasy) Acyl-homoserine-lactone synthase [2.3.1.184]",2
"RXN-10023: (expasy) Acyl-homoserine-lactone synthase [2.3.1.184]","RXN-10023: (expasy) Acyl-homoserine-lactone synthase [2.3.1.184]",2
"RXN-10022: (expasy) Acyl-homoserine-lactone synthase [2.3.1.184]","RXN-10022: (expasy) Acyl-homoserine-lactone synthase [2.3.1.184]",2
"2.3.1.184-RXN: (expasy) Acyl-homoserine-lactone synthase [2.3.1.184]","2.3.1.184-RXN: (expasy) Acyl-homoserine-lactone synthase [2.3.1.184]",2
"RXN-10020: (expasy) Acyl-homoserine-lactone synthase [2.3.1.184]","RXN-10020: (expasy) Acyl-homoserine-lactone synthase [2.3.1.184]",2
"RXNQT-4363: (expasy) Glutathione transferase [2.5.1.18]","RXNQT-4363: (expasy) Glutathione transferase [2.5.1.18]",2
"RXN-19626: (expasy) Glutathione transferase [2.5.1.18]","RXN-19626: (expasy) Glutathione transferase [2.5.1.18]",2
"RXN-19611: (expasy) Glutathione transferase [2.5.1.18]","RXN-19611: (expasy) Glutathione transferase [2.5.1.18]",2
"RXN-19610: (expasy) Glutathione transferase [2.5.1.18]","RXN-19610: (expasy) Glutathione transferase [2.5.1.18]",2
"RXN-19601: (expasy) Glutathione transferase [2.5.1.18]","RXN-19601: (expasy) Glutathione transferase [2.5.1.18]",2
"RXN-19600: (expasy) Glutathione transferase [2.5.1.18]","RXN-19600: (expasy) Glutathione transferase [2.5.1.18]",2
"RXN-19573: (expasy) Glutathione transferase [2.5.1.18]","RXN-19573: (expasy) Glutathione transferase [2.5.1.18]",2
"RXN-18407: (expasy) Glutathione transferase [2.5.1.18]","RXN-18407: (expasy) Glutathione transferase [2.5.1.18]",2
"RXN-18405: (expasy) Glutathione transferase [2.5.1.18]","RXN-18405: (expasy) Glutathione transferase [2.5.1.18]",2
"RXN-15680: (metacyc) 3-benzyl-3,6-dihydroxy-6-(hydroxymethyl)-diketopiperazine glutathione S-transferase [2.5.1.18]","RXN-15680: (metacyc) 3-benzyl-3,6-dihydroxy-6-(hydroxymethyl)-diketopiperazine glutathione S-transferase [2.5.1.18]",2
"RXN-13673: (expasy) Glutathione transferase [2.5.1.18]","RXN-13673: (expasy) Glutathione transferase [2.5.1.18]",2
"RXN-11663: (expasy) Glutathione transferase [2.5.1.18]","RXN-11663: (expasy) Glutathione transferase [2.5.1.18]",2
"GSHTRAN-RXN: (expasy) Glutathione transferase [2.5.1.18]","GSHTRAN-RXN: (expasy) Glutathione transferase [2.5.1.18]",2
"GST-RXN: (expasy) Glutathione transferase [2.5.1.18]","GST-RXN: (expasy) Glutathione transferase [2.5.1.18]",2
"AMP-NUCLEOSID-RXN: (expasy) AMP nucleosidase [3.2.2.4]","AMP-NUCLEOSID-RXN: (expasy) AMP nucleosidase [3.2.2.4]",2
"1.4.1.21-RXN: (expasy) Aspartate dehydrogenase [1.4.1.21]","1.4.1.21-RXN: (expasy) Aspartate dehydrogenase [1.4.1.21]",2
"FUMARYLACETOACETASE-RXN: (expasy) Fumarylacetoacetase [3.7.1.2]","FUMARYLACETOACETASE-RXN: (expasy) Fumarylacetoacetase [3.7.1.2]",2
"RXN0-20: (expasy) Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase [2.5.1.145]","RXN0-20: (expasy) Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase [2.5.1.145]",2
"RXN3O-54: (expasy) 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [2.1.1.201]","RXN3O-54: (expasy) 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [2.1.1.201]",2
"RXN-9242: (expasy) 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [2.1.1.201]","RXN-9242: (expasy) 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [2.1.1.201]",2
"RXN-9235: (expasy) 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [2.1.1.201]","RXN-9235: (expasy) 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [2.1.1.201]",2
"RXN-9227: (metacyc) 2-heptaprenyl-6-methoxy-1,4-benzoquinone methyltransferase [2.1.1.201]","RXN-9227: (metacyc) 2-heptaprenyl-6-methoxy-1,4-benzoquinone methyltransferase [2.1.1.201]",2
"2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN: (expasy) 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [2.1.1.201]","2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN: (expasy) 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [2.1.1.201]",2
"RXN-11754: (expasy) 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [2.1.1.201]","RXN-11754: (expasy) 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [2.1.1.201]",2
"RXN-13756: (expasy) ([Pyruvate, phosphate dikinase] phosphate) phosphotransferase [2.7.4.27]","RXN-13756: (expasy) ([Pyruvate, phosphate dikinase] phosphate) phosphotransferase [2.7.4.27]",2
"RXN-13757: (expasy) [Pyruvate, phosphate dikinase] kinase [2.7.11.32]","RXN-13757: (expasy) [Pyruvate, phosphate dikinase] kinase [2.7.11.32]",2
"GLY3KIN-RXN: (expasy) Glycerate 3-kinase [2.7.1.31]","GLY3KIN-RXN: (expasy) Glycerate 3-kinase [2.7.1.31]",2
"RXN-16003: (expasy) Serine 3-dehydrogenase (NADP(+)) [1.1.1.276]","RXN-16003: (expasy) Serine 3-dehydrogenase (NADP(+)) [1.1.1.276]",2
"HOMSUCTRAN-RXN: (expasy) Homoserine O-succinyltransferase [2.3.1.46]","HOMSUCTRAN-RXN: (expasy) Homoserine O-succinyltransferase [2.3.1.46]",2
"ARGINASE-RXN: (expasy) Arginase [3.5.3.1]","ARGINASE-RXN: (expasy) Arginase [3.5.3.1]",2
"RXN-34: (expasy) Arginase [3.5.3.1]","RXN-34: (expasy) Arginase [3.5.3.1]",2
"DLACTDEHYDROGFAD-RXN: (expasy) D-lactate dehydrogenase (quinone) [1.1.5.12]","DLACTDEHYDROGFAD-RXN: (expasy) D-lactate dehydrogenase (quinone) [1.1.5.12]",2
"RXN-20917: (expasy) D-lactate dehydrogenase (quinone) [1.1.5.12]","RXN-20917: (expasy) D-lactate dehydrogenase (quinone) [1.1.5.12]",2
"RXN-6264: (expasy) AMBIGUOUS [3.8.1.10; 3.8.1.9]","RXN-6264: (expasy) AMBIGUOUS [3.8.1.10; 3.8.1.9]",2
"RXN-11761: (expasy) Haloacetate dehalogenase [3.8.1.3]","RXN-11761: (expasy) Haloacetate dehalogenase [3.8.1.3]",2
"DHLBXANAU-RXN: (metacyc) chloroacetate dehalogenase [3.8.1.3]","DHLBXANAU-RXN: (metacyc) chloroacetate dehalogenase [3.8.1.3]",2
"HALOACETATE-DEHALOGENASE-RXN: (expasy) Haloacetate dehalogenase [3.8.1.3]","HALOACETATE-DEHALOGENASE-RXN: (expasy) Haloacetate dehalogenase [3.8.1.3]",2
"RXN-19897: (expasy) 3-(aryl)acryloyl-CoA:(R)-3-(aryl)lactate CoA-transferase [2.8.3.17]","RXN-19897: (expasy) 3-(aryl)acryloyl-CoA:(R)-3-(aryl)lactate CoA-transferase [2.8.3.17]",2
"2.8.3.17-RXN: (expasy) 3-(aryl)acryloyl-CoA:(R)-3-(aryl)lactate CoA-transferase [2.8.3.17]","2.8.3.17-RXN: (expasy) 3-(aryl)acryloyl-CoA:(R)-3-(aryl)lactate CoA-transferase [2.8.3.17]",2
"RXN-19895: (expasy) 3-(aryl)acryloyl-CoA:(R)-3-(aryl)lactate CoA-transferase [2.8.3.17]","RXN-19895: (expasy) 3-(aryl)acryloyl-CoA:(R)-3-(aryl)lactate CoA-transferase [2.8.3.17]",2
"RXN-18052: (expasy) Mycocerosate synthase [2.3.1.111]","RXN-18052: (expasy) Mycocerosate synthase [2.3.1.111]",2
"RXN-18051: (expasy) Mycocerosate synthase [2.3.1.111]","RXN-18051: (expasy) Mycocerosate synthase [2.3.1.111]",2
"RXN-17185: (expasy) Mycocerosate synthase [2.3.1.111]","RXN-17185: (expasy) Mycocerosate synthase [2.3.1.111]",2
"MYCOCEROSATE-SYNTHASE-RXN: (expasy) Mycocerosate synthase [2.3.1.111]","MYCOCEROSATE-SYNTHASE-RXN: (expasy) Mycocerosate synthase [2.3.1.111]",2
"RXN-17184: (expasy) Mycocerosate synthase [2.3.1.111]","RXN-17184: (expasy) Mycocerosate synthase [2.3.1.111]",2
"MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN: (expasy) Inositol-3-phosphate synthase [5.5.1.4]","MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN: (expasy) Inositol-3-phosphate synthase [5.5.1.4]",2
"RXN66-579: (expasy) Inositol-3-phosphate synthase [5.5.1.4]","RXN66-579: (expasy) Inositol-3-phosphate synthase [5.5.1.4]",2
"3.5.1.91-RXN: (expasy) N-substituted formamide deformylase [3.5.1.91]","3.5.1.91-RXN: (expasy) N-substituted formamide deformylase [3.5.1.91]",2
"RXN-21418: (expasy) N-substituted formamide deformylase [3.5.1.91]","RXN-21418: (expasy) N-substituted formamide deformylase [3.5.1.91]",2
"RXN-4961: (expasy) Squalene--hopanol cyclase [4.2.1.129]","RXN-4961: (expasy) Squalene--hopanol cyclase [4.2.1.129]",2
"RXN-18594: (expasy) 3-dehydrotetronate 4-kinase [2.7.1.217]","RXN-18594: (expasy) 3-dehydrotetronate 4-kinase [2.7.1.217]",2
"RXN-18595: (expasy) 3-dehydrotetronate 4-kinase [2.7.1.217]","RXN-18595: (expasy) 3-dehydrotetronate 4-kinase [2.7.1.217]",2
"3.4.11.2-RXN: (expasy) AMBIGUOUS [3.4.11.14; 3.4.11.2]","3.4.11.2-RXN: (expasy) AMBIGUOUS [3.4.11.14; 3.4.11.2]",2
"RXN-11591: (expasy) 16S rRNA (cytosine(967)-C(5))-methyltransferase [2.1.1.176]","RXN-11591: (expasy) 16S rRNA (cytosine(967)-C(5))-methyltransferase [2.1.1.176]",2
"NADPYROPHOSPHAT-RXN: (expasy) NAD(+) diphosphatase [3.6.1.22]","NADPYROPHOSPHAT-RXN: (expasy) NAD(+) diphosphatase [3.6.1.22]",2
"RXN0-4401: (expasy) NAD(+) diphosphatase [3.6.1.22]","RXN0-4401: (expasy) NAD(+) diphosphatase [3.6.1.22]",2
"RXN-17813: (expasy) Methanethiol S-methyltransferase [2.1.1.334]","RXN-17813: (expasy) Methanethiol S-methyltransferase [2.1.1.334]",2
