"","x"
"127","3.1.26.8-RXN: (expasy) Ribonuclease M5 [3.1.26.8]"
"128","3.1.3.16-RXN: (expasy) Protein-serine/threonine phosphatase [3.1.3.16]"
"129","3.1.3.46-RXN: (expasy) Fructose-2,6-bisphosphate 2-phosphatase [3.1.3.46]"
"130","3.1.3.76-RXN: (expasy) Lipid-phosphate phosphatase [3.1.3.76]"
"131","3.1.3.77-RXN: (expasy) Acireductone synthase [3.1.3.77]"
"132","3.1.30.2-RXN: (expasy) Serratia marcescens nuclease [3.1.30.2]"
"133","3.1.31.1-RXN: (expasy) Micrococcal nuclease [3.1.31.1]"
"134","3.1.4.1-RXN: (expasy) Phosphodiesterase I [3.1.4.1]"
"135","3.1.4.14-RXN: (expasy) [Acyl-carrier-protein] phosphodiesterase [3.1.4.14]"
"136","3.1.4.17-RXN: (expasy) 3',5'-cyclic-nucleotide phosphodiesterase [3.1.4.17]"
"137","3.1.6.12-RXN: (expasy) N-acetylgalactosamine-4-sulfatase [3.1.6.12]"
"138","3.11.1.2-RXN: (expasy) Phosphonoacetate hydrolase [3.11.1.2]"
"139","3.11.1.3-RXN: (expasy) Phosphonopyruvate hydrolase [3.11.1.3]"
"140","3.2.1.10-RXN: (expasy) Oligo-1,6-glucosidase [3.2.1.10]"
"141","3.2.1.135-RXN: (expasy) Neopullulanase [3.2.1.135]"
"142","3.2.1.14-RXN: (expasy) Chitinase [3.2.1.14]"
"143","3.2.1.17-RXN: (expasy) Lysozyme [3.2.1.17]"
"144","3.2.1.18-RXN: (expasy) Exo-alpha-sialidase [3.2.1.18]"
"145","3.2.1.21-RXN: (expasy) Beta-glucosidase [3.2.1.21]"
"146","3.2.1.23-RXN: (expasy) Beta-galactosidase [3.2.1.23]"
"147","3.2.1.24-RXN: (expasy) Alpha-mannosidase [3.2.1.24]"
"148","3.2.1.35-RXN: (expasy) Hyaluronoglucosaminidase [3.2.1.35]"
"149","3.2.1.37-RXN: (expasy) Xylan 1,4-beta-xylosidase [3.2.1.37]"
"150","3.2.1.39-RXN: (expasy) Glucan endo-1,3-beta-D-glucosidase [3.2.1.39]"
"151","3.2.1.68-RXN: (expasy) Isoamylase [3.2.1.68]"
"152","3.2.1.70-RXN: (expasy) Glucan 1,6-alpha-glucosidase [3.2.1.70]"
"153","3.2.1.73-RXN: (expasy) Licheninase [3.2.1.73]"
"154","3.2.1.74-RXN: (expasy) Glucan 1,4-beta-glucosidase [3.2.1.74]"
"155","3.2.1.78-RXN: (expasy) Mannan endo-1,4-beta-mannosidase [3.2.1.78]"
"156","3.2.1.8-RXN: (expasy) Endo-1,4-beta-xylanase [3.2.1.8]"
"157","3.2.1.89-RXN: (expasy) Arabinogalactan endo-beta-1,4-galactanase [3.2.1.89]"
"158","3.2.1.96-RXN: (expasy) Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [3.2.1.96]"
"159","3.2.1.97-RXN: (expasy) Endo-alpha-N-acetylgalactosaminidase [3.2.1.97]"
"160","3.2.1.98-RXN: (expasy) Glucan 1,4-alpha-maltohexaosidase [3.2.1.98]"
