Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
032024_COL_SAN_T5_158_DLAB_S15_R2_001_val_2	(1.0, 76.34329905569722)	(2.0, 13.335495979469943)	(3.0, 2.903670866316794)	(4.0, 1.1397882039335512)	(5.0, 0.6578581697278241)	(6.0, 0.4527034672350238)	(7.0, 0.3281391539763429)	(8.0, 0.26439702215303246)	(9.0, 0.22457887600394752)	('>10', 2.107475416664882)	('>50', 0.6684209038361307)	('>100', 1.190743114840628)	('>500', 0.2410746272877442)	('>1k', 0.08705957595082324)	('>5k', 0.0)	('>10k+', 0.05529556690617223)
032024_COL_SAN_T5_159_DLAB_S16_R1_001_val_1	(1.0, 76.23836106088507)	(2.0, 13.739372267793104)	(3.0, 3.107428130010476)	(4.0, 1.16286812071703)	(5.0, 0.6723886526020927)	(6.0, 0.47800655945342907)	(7.0, 0.3743502147077394)	(8.0, 0.27050210533168145)	(9.0, 0.22362071201432915)	('>10', 1.9464122880665526)	('>50', 0.5373752814674265)	('>100', 0.9021383260387154)	('>500', 0.1923845831791503)	('>1k', 0.1419549803555441)	('>5k', 0.012836717377506988)	('>10k+', 0.0)
032024_COL_SAN_T5_159_DLAB_S16_R2_001_val_2	(1.0, 75.89396499072795)	(2.0, 13.890691399971717)	(3.0, 3.0814814114687668)	(4.0, 1.2089938889120615)	(5.0, 0.7178796973569179)	(6.0, 0.5106752988451236)	(7.0, 0.3741076601068334)	(8.0, 0.2943562435534143)	(9.0, 0.2134549960200354)	('>10', 1.9635650869382009)	('>50', 0.5097301216155756)	('>100', 0.9458210025058573)	('>500', 0.17458376139536955)	('>1k', 0.13770553793340398)	('>5k', 0.01868454993145311)	('>10k+', 0.06430435271713703)
032024_COL_SAN_T5_160_DLAB_S41_R1_001_val_1	(1.0, 62.14837248248839)	(2.0, 20.064416318894903)	(3.0, 6.060509182294714)	(4.0, 2.202470957154849)	(5.0, 1.135823815464196)	(6.0, 0.6865069823995996)	(7.0, 0.48424760050016546)	(8.0, 0.4056214702591732)	(9.0, 0.28691014489644273)	('>10', 4.022004832552052)	('>50', 0.7932271901211216)	('>100', 1.1831944596607675)	('>500', 0.24153301277080366)	('>1k', 0.27616190026991483)	('>5k', 0.00899965027289712)	('>10k+', 0.0)
032024_COL_SAN_T5_160_DLAB_S41_R2_001_val_2	(1.0, 60.90217961572307)	(2.0, 20.802275265086212)	(3.0, 6.310077572249828)	(4.0, 2.194005939200053)	(5.0, 1.1495271388587232)	(6.0, 0.695331783173319)	(7.0, 0.5570097890808065)	(8.0, 0.3865528357650568)	(9.0, 0.3158305926446912)	('>10', 4.064964351825959)	('>50', 0.8716230021816143)	('>100', 1.1897724846993603)	('>500', 0.27674625586727875)	('>1k', 0.23999840064668165)	('>5k', 0.01317347528207154)	('>10k+', 0.03093149771534377)
032024_COL_SAN_T5_161_DLAB_S42_R1_001_val_1	(1.0, 65.2863952694664)	(2.0, 19.88622455474256)	(3.0, 5.961476590878148)	(4.0, 2.148205038714122)	(5.0, 1.0208795512438302)	(6.0, 0.5627585268629949)	(7.0, 0.4150991093391613)	(8.0, 0.34731467228024815)	(9.0, 0.31950247356242695)	('>10', 2.445507847049343)	('>50', 0.5009111753476365)	('>100', 0.6998875019967151)	('>500', 0.2230986733026545)	('>1k', 0.18273901521379576)	('>5k', 0.0)	('>10k+', 0.0)
032024_COL_SAN_T5_161_DLAB_S42_R2_001_val_2	(1.0, 63.724030036186775)	(2.0, 20.931002678757807)	(3.0, 6.175199696226633)	(4.0, 2.203483195399376)	(5.0, 1.0056125719399542)	(6.0, 0.666526686588755)	(7.0, 0.48298012480892444)	(8.0, 0.3702322171690178)	(9.0, 0.2953825191197332)	('>10', 2.5157899608401286)	('>50', 0.47891790783787386)	('>100', 0.7284053926574893)	('>500', 0.21569115523272037)	('>1k', 0.16518587962658554)	('>5k', 0.0)	('>10k+', 0.04155997760839683)
032024_COL_SAN_T5_162_PSTR_S39_R1_001_val_1	(1.0, 55.18378350377445)	(2.0, 23.4457667356683)	(3.0, 8.441933781499717)	(4.0, 3.112133289864333)	(5.0, 1.3481890746142855)	(6.0, 0.8546709005701021)	(7.0, 0.5532422347471467)	(8.0, 0.43133447700745503)	(9.0, 0.33811747630166944)	('>10', 3.2119184939004763)	('>50', 0.5346577284480892)	('>100', 1.0713226733938228)	('>500', 0.5454802988002795)	('>1k', 0.7473426918736613)	('>5k', 0.10634707480026653)	('>10k+', 0.07375956473607893)
032024_COL_SAN_T5_162_PSTR_S39_R2_001_val_2	(1.0, 53.20037314140005)	(2.0, 24.541588271203278)	(3.0, 8.822413728408604)	(4.0, 3.2538060483469797)	(5.0, 1.500460147513723)	(6.0, 0.8722462594735773)	(7.0, 0.5927741023487586)	(8.0, 0.44708695680604055)	(9.0, 0.3370107284405311)	('>10', 3.234191004868905)	('>50', 0.598373491682248)	('>100', 1.0727558400030068)	('>500', 0.5813192732255266)	('>1k', 0.7692782246300831)	('>5k', 0.08410244603760508)	('>10k+', 0.09222033561109558)
032024_COL_SAN_T5_163_PSTR_S11_R1_001_val_1	(1.0, 75.63938647288442)	(2.0, 13.96511404500761)	(3.0, 3.269878872290904)	(4.0, 1.2016266969157516)	(5.0, 0.7169215903761311)	(6.0, 0.47343684348036325)	(7.0, 0.3266380425932494)	(8.0, 0.26278377882523163)	(9.0, 0.19377712766995525)	('>10', 2.0699250004755765)	('>50', 0.5595506836142632)	('>100', 1.1388295539918962)	('>500', 0.1739780634427799)	('>1k', 0.008153228431875085)	('>5k', 0.0)	('>10k+', 0.0)
